BACIA,AMBIENTE,ANO,TIPO ATIVIDADE,QUANTIDADE ATIVIDADE,UNIDADE DA ATIVIDADE
Amazonas,TERRA,2025,UEP - construção,"0,81",Unidade
Amazonas,TERRA,2026,Coleta - linhas - lançamento (inclui risers),"45,50",Kilômetro
Amazonas,TERRA,2026,Coleta - manifold - instalação,"4,72",Unidade
Amazonas,TERRA,2026,Completação para injeção,"1,00",Unidade
Amazonas,TERRA,2026,Completação para produção,"3,00",Unidade
Amazonas,TERRA,2026,Perfuração - injetor,"1,00",Unidade
Amazonas,TERRA,2026,Perfuração - produtor,"3,00",Unidade
Amazonas,TERRA,2026,Recompletação para produção,"1,00",Unidade
Amazonas,TERRA,2026,Sem Atividade,"0,00",sem unidade
Amazonas,TERRA,2026,Teste de Longa Duração - TLD,"1,00",Unidade
Amazonas,TERRA,2026,UEP - construção,"0,01",Unidade
Amazonas,TERRA,2027,Coleta - linhas - lançamento (inclui risers),"1,15",Kilômetro
Amazonas,TERRA,2027,Escoamento - compressor - instalação,"0,29",Unidade
Amazonas,TERRA,2027,Escoamento - gasoduto - lançamento,"1,52",Kilômetro
Amazonas,TERRA,2027,Recompletação para injeção,"1,00",Unidade
Amazonas,TERRA,2027,Sem Atividade,"0,00",sem unidade
Amazonas,TERRA,2027,UEP - construção,"0,86",Unidade
Amazonas,TERRA,2028,Abandono Permanente,"1,00",Unidade
Amazonas,TERRA,2028,Coleta - manifold - instalação,"4,00",Unidade
Amazonas,TERRA,2028,Descomissionamento - Arrasamento de poço,"1,00",Unidade
Amazonas,TERRA,2028,Escoamento - compressor - instalação,"0,63",Unidade
Amazonas,TERRA,2028,Escoamento - gasoduto - lançamento,"8,13",Kilômetro
Amazonas,TERRA,2028,Sem Atividade,"0,00",sem unidade
Amazonas,TERRA,2028,UEP - construção,"0,37",Unidade
Amazonas,TERRA,2029,Abandono Permanente,"1,00",Unidade
Amazonas,TERRA,2029,Descomissionamento - Arrasamento de poço,"1,00",Unidade
Amazonas,TERRA,2029,Escoamento - compressor - instalação,"0,08",Unidade
Amazonas,TERRA,2029,Recuperação Ambiental,"0,01",Kilômetro Quadrado
Amazonas,TERRA,2029,Remoção de instalações associadas à Unidades Produção Terrestres,"1,00",Unidade
Amazonas,TERRA,2029,Sem Atividade,"0,00",sem unidade
Amazonas,TERRA,2029,UEP - construção,"0,03",Unidade
Barreirinhas,TERRA,2025,Perfuração - exploratório,"1,00",Unidade
Barreirinhas,TERRA,2025,Teste de Formação - poço exploratório,"1,00",Unidade
Barreirinhas,TERRA,2026,Sem Atividade,"0,00",sem unidade
Barreirinhas,TERRA,2027,Sem Atividade,"0,00",sem unidade
Barreirinhas,TERRA,2028,Sem Atividade,"0,00",sem unidade
Barreirinhas,TERRA,2029,Sem Atividade,"0,00",sem unidade
Camamu,MAR,2025,Sem Atividade,"0,00",sem unidade
Camamu,MAR,2026,Sem Atividade,"0,00",sem unidade
Camamu,MAR,2027,Sem Atividade,"0,00",sem unidade
Camamu,MAR,2028,Sem Atividade,"0,00",sem unidade
Camamu,MAR,2029,Sem Atividade,"0,00",sem unidade
Camamu,TERRA,2025,Abandono Permanente,"3,00",Unidade
Camamu,TERRA,2025,Descomissionamento - Arrasamento de poço,"3,00",Unidade
Camamu,TERRA,2025,Recuperação Ambiental,"2,28",Kilômetro Quadrado
Camamu,TERRA,2025,Remoção de instalações associadas à Unidades Produção Terrestres,"3,00",Unidade
Camamu,TERRA,2025,Teste de Formação - poço explotatório,"4,00",Unidade
Camamu,TERRA,2025,UEP - alteração/ampliação/melhorias,"1,00",Unidade
Camamu,TERRA,2026,Sem Atividade,"0,00",sem unidade
Camamu,TERRA,2027,Sem Atividade,"0,00",sem unidade
Camamu,TERRA,2028,Sem Atividade,"0,00",sem unidade
Camamu,TERRA,2029,Sem Atividade,"0,00",sem unidade
Campos,MAR,2025,Abandono Permanente,"101,58",Unidade
Campos,MAR,2025,Coleta - linhas - lançamento (inclui risers),"749,38",Kilômetro
Campos,MAR,2025,Coleta - manifold - instalação,"10,48",Unidade
Campos,MAR,2025,Coleta - sistema de processamento submarino - instalação,"1,00",Unidade
Campos,MAR,2025,Completação para injeção,"10,00",Unidade
Campos,MAR,2025,Completação para produção,"47,37",Unidade
Campos,MAR,2025,Descomissionamento - Arrasamento de poço,"1,00",Unidade
Campos,MAR,2025,Descomissionamento - desmobilização UEP,"11,98",Unidade
Campos,MAR,2025,Descomissionamento - remoção de linhas,"634,31",Kilômetro
Campos,MAR,2025,Elevação Artificial - sistema submarino,"17,00",Unidade
Campos,MAR,2025,Escoamento - gasoduto - lançamento,"1,67",Kilômetro
Campos,MAR,2025,Escoamento - oleoduto - lançamento,"0,01",Kilômetro
Campos,MAR,2025,Levantamento de Sísmica 2D - Aquisição,"200,01",Kilômetro
Campos,MAR,2025,Levantamento de Sísmica 3D - Aquisição,"2.111,62",Kilômetro Quadrado
Campos,MAR,2025,Mudança de método de elevação artificial - poço,"5,00",Unidade
Campos,MAR,2025,Perfuração - exploratório,"3,00",Unidade
Campos,MAR,2025,Perfuração - injetor,"10,11",Unidade
Campos,MAR,2025,Perfuração - outro,"3,00",Unidade
Campos,MAR,2025,Perfuração - produtor,"30,42",Unidade
Campos,MAR,2025,Recompletação para injeção,"2,00",Unidade
Campos,MAR,2025,Recompletação para produção,"38,00",Unidade
Campos,MAR,2025,Recuperação Ambiental,"1,97",Kilômetro Quadrado
Campos,MAR,2025,Remoção dos Demais Equipamentos do Sistema Submarino,"26,00",Unidade
Campos,MAR,2025,Sem Atividade,"0,00",sem unidade
Campos,MAR,2025,UEP - alteração/ampliação/melhorias,"91,68",Unidade
Campos,MAR,2025,UEP - construção,"5,00",Unidade
Campos,MAR,2025,UEP - instalação,"0,09",Unidade
Campos,MAR,2026,Abandono Permanente,"119,59",Unidade
Campos,MAR,2026,Coleta - linhas - lançamento (inclui risers),"623,71",Kilômetro
Campos,MAR,2026,Coleta - manifold - instalação,"6,38",Unidade
Campos,MAR,2026,Coleta - sistema de processamento submarino - instalação,"3,00",Unidade
Campos,MAR,2026,Completação para injeção,"14,68",Unidade
Campos,MAR,2026,Completação para produção,"31,06",Unidade
Campos,MAR,2026,Descomissionamento - desmobilização UEP,"10,03",Unidade
Campos,MAR,2026,Descomissionamento - remoção de linhas,"370,80",Kilômetro
Campos,MAR,2026,Elevação Artificial - sistema submarino,"11,00",Unidade
Campos,MAR,2026,Escoamento - gasoduto - lançamento,"2,56",Kilômetro
Campos,MAR,2026,Escoamento - oleoduto - lançamento,"0,01",Kilômetro
Campos,MAR,2026,Levantamento de Sísmica 2D - Aquisição,"250,16",Kilômetro
Campos,MAR,2026,Levantamento de Sísmica 3D - Aquisição,"2.978,13",Kilômetro Quadrado
Campos,MAR,2026,Mudança de método de elevação artificial - poço,"5,00",Unidade
Campos,MAR,2026,Perfuração - injetor,"15,93",Unidade
Campos,MAR,2026,Perfuração - outro,"2,00",Unidade
Campos,MAR,2026,Perfuração - produtor,"24,43",Unidade
Campos,MAR,2026,Recompletação para injeção,"1,00",Unidade
Campos,MAR,2026,Recompletação para produção,"19,50",Unidade
Campos,MAR,2026,Remoção dos Demais Equipamentos do Sistema Submarino,"15,00",Unidade
Campos,MAR,2026,Sem Atividade,"0,00",sem unidade
Campos,MAR,2026,UEP - alteração/ampliação/melhorias,"55,06",Unidade
Campos,MAR,2026,UEP - construção,"5,98",Unidade
Campos,MAR,2026,UEP - instalação,"2,09",Unidade
Campos,MAR,2027,Abandono Permanente,"110,42",Unidade
Campos,MAR,2027,Coleta - linhas - lançamento (inclui risers),"352,14",Kilômetro
Campos,MAR,2027,Coleta - manifold - instalação,"4,00",Unidade
Campos,MAR,2027,Coleta - sistema de processamento submarino - instalação,"2,00",Unidade
Campos,MAR,2027,Completação para injeção,"1,25",Unidade
Campos,MAR,2027,Completação para produção,"25,30",Unidade
Campos,MAR,2027,Descomissionamento - Arrasamento de poço,"1,00",Unidade
Campos,MAR,2027,Descomissionamento - desmobilização UEP,"7,00",Unidade
Campos,MAR,2027,Descomissionamento - remoção de linhas,"290,42",Kilômetro
Campos,MAR,2027,Elevação Artificial - sistema submarino,"16,00",Unidade
Campos,MAR,2027,Escoamento - gasoduto - lançamento,"7,24",Kilômetro
Campos,MAR,2027,Escoamento - oleoduto - lançamento,"0,01",Kilômetro
Campos,MAR,2027,Levantamento de Sísmica 3D - Aquisição,"1.582,08",Kilômetro Quadrado
Campos,MAR,2027,Mudança de método de elevação artificial - poço,"6,00",Unidade
Campos,MAR,2027,Perfuração - exploratório,"1,00",Unidade
Campos,MAR,2027,Perfuração - injetor,"2,90",Unidade
Campos,MAR,2027,Perfuração - produtor,"18,26",Unidade
Campos,MAR,2027,Recompletação para injeção,"1,00",Unidade
Campos,MAR,2027,Recompletação para produção,"4,50",Unidade
Campos,MAR,2027,Remoção dos Demais Equipamentos do Sistema Submarino,"5,00",Unidade
Campos,MAR,2027,Sem Atividade,"0,00",sem unidade
Campos,MAR,2027,Teste de Formação - poço explotatório,"2,00",Unidade
Campos,MAR,2027,UEP - alteração/ampliação/melhorias,"42,35",Unidade
Campos,MAR,2027,UEP - construção,"2,98",Unidade
Campos,MAR,2027,UEP - instalação,"4,09",Unidade
Campos,MAR,2028,Abandono Permanente,"109,00",Unidade
Campos,MAR,2028,Coleta - linhas - lançamento (inclui risers),"67,72",Kilômetro
Campos,MAR,2028,Coleta - manifold - instalação,"1,00",Unidade
Campos,MAR,2028,Completação para injeção,"1,00",Unidade
Campos,MAR,2028,Completação para produção,"26,20",Unidade
Campos,MAR,2028,Descomissionamento - desmobilização UEP,"7,29",Unidade
Campos,MAR,2028,Descomissionamento - remoção de linhas,"851,77",Kilômetro
Campos,MAR,2028,Elevação Artificial - sistema submarino,"17,00",Unidade
Campos,MAR,2028,Escoamento - gasoduto - lançamento,"62,34",Kilômetro
Campos,MAR,2028,Escoamento - oleoduto - lançamento,"4,67",Kilômetro
Campos,MAR,2028,Levantamento de Sísmica 3D - Aquisição,"275,00",Kilômetro Quadrado
Campos,MAR,2028,Perfuração - exploratório,"1,00",Unidade
Campos,MAR,2028,Perfuração - injetor,"2,00",Unidade
Campos,MAR,2028,Perfuração - produtor,"18,44",Unidade
Campos,MAR,2028,Recompletação para injeção,"1,00",Unidade
Campos,MAR,2028,Recompletação para produção,"2,00",Unidade
Campos,MAR,2028,Remoção dos Demais Equipamentos do Sistema Submarino,"10,00",Unidade
Campos,MAR,2028,Sem Atividade,"0,00",sem unidade
Campos,MAR,2028,Teste de Formação - poço exploratório,"2,00",Unidade
Campos,MAR,2028,UEP - alteração/ampliação/melhorias,"36,86",Unidade
Campos,MAR,2028,UEP - construção,"2,98",Unidade
Campos,MAR,2028,UEP - instalação,"2,65",Unidade
Campos,MAR,2029,Abandono Permanente,"81,96",Unidade
Campos,MAR,2029,Coleta - linhas - lançamento (inclui risers),"286,12",Kilômetro
Campos,MAR,2029,Coleta - manifold - instalação,"5,00",Unidade
Campos,MAR,2029,Completação para injeção,"8,00",Unidade
Campos,MAR,2029,Completação para produção,"19,50",Unidade
Campos,MAR,2029,Descomissionamento - desmobilização UEP,"8,27",Unidade
Campos,MAR,2029,Descomissionamento - remoção de linhas,"197,00",Kilômetro
Campos,MAR,2029,Elevação Artificial - sistema submarino,"10,00",Unidade
Campos,MAR,2029,Escoamento - gasoduto - lançamento,"79,05",Kilômetro
Campos,MAR,2029,Levantamento de Sísmica 2D - Aquisição,"653,00",Kilômetro
Campos,MAR,2029,Levantamento de Sísmica 3D - Aquisição,"928,00",Kilômetro Quadrado
Campos,MAR,2029,Perfuração - injetor,"8,00",Unidade
Campos,MAR,2029,Perfuração - produtor,"11,00",Unidade
Campos,MAR,2029,Recuperação Ambiental,"1,03",Kilômetro Quadrado
Campos,MAR,2029,Remoção dos Demais Equipamentos do Sistema Submarino,"4,00",Unidade
Campos,MAR,2029,Sem Atividade,"0,00",sem unidade
Campos,MAR,2029,UEP - alteração/ampliação/melhorias,"27,05",Unidade
Campos,MAR,2029,UEP - construção,"0,98",Unidade
Campos,MAR,2029,UEP - instalação,"1,08",Unidade
Ceará,MAR,2025,Descomissionamento - Arrasamento de poço,"9,00",Unidade
Ceará,MAR,2025,Descomissionamento - desmobilização UEP,"0,07",Unidade
Ceará,MAR,2025,Descomissionamento - remoção de linhas,"7,00",Kilômetro
Ceará,MAR,2026,Abandono Permanente,"4,00",Unidade
Ceará,MAR,2026,Descomissionamento - desmobilização UEP,"0,03",Unidade
Ceará,MAR,2026,Descomissionamento - remoção de linhas,"3,96",Kilômetro
Ceará,MAR,2027,Abandono Permanente,"15,00",Unidade
Ceará,MAR,2027,Descomissionamento - desmobilização UEP,"0,03",Unidade
Ceará,MAR,2027,Sem Atividade,"0,00",sem unidade
Ceará,MAR,2028,Abandono Permanente,"15,00",Unidade
Ceará,MAR,2028,Sem Atividade,"0,00",sem unidade
Ceará,MAR,2029,Abandono Permanente,"13,00",Unidade
Ceará,MAR,2029,Descomissionamento - Arrasamento de poço,"5,00",Unidade
Ceará,MAR,2029,Sem Atividade,"0,00",sem unidade
Cumuruxatiba,MAR,2025,Sem Atividade,"0,00",sem unidade
Cumuruxatiba,MAR,2026,Sem Atividade,"0,00",sem unidade
Cumuruxatiba,MAR,2027,Sem Atividade,"0,00",sem unidade
Cumuruxatiba,MAR,2028,Sem Atividade,"0,00",sem unidade
Cumuruxatiba,MAR,2029,Sem Atividade,"0,00",sem unidade
Espírito Santo,MAR,2025,Coleta - linhas - lançamento (inclui risers),"8,00",Kilômetro
Espírito Santo,MAR,2025,Perfuração - produtor,"0,16",Unidade
Espírito Santo,MAR,2025,Recompletação para produção,"0,21",Unidade
Espírito Santo,MAR,2025,Sem Atividade,"0,00",sem unidade
Espírito Santo,MAR,2025,UEP - alteração/ampliação/melhorias,"1,39",Unidade
Espírito Santo,MAR,2026,Abandono Permanente,"3,33",Unidade
Espírito Santo,MAR,2026,Coleta - linhas - lançamento (inclui risers),"8,00",Kilômetro
Espírito Santo,MAR,2026,Recompletação para produção,"1,16",Unidade
Espírito Santo,MAR,2026,Sem Atividade,"0,00",sem unidade
Espírito Santo,MAR,2026,UEP - alteração/ampliação/melhorias,"1,55",Unidade
Espírito Santo,MAR,2027,Coleta - linhas - lançamento (inclui risers),"8,00",Kilômetro
Espírito Santo,MAR,2027,Coleta - manifold - instalação,"1,00",Unidade
Espírito Santo,MAR,2027,Elevação Artificial - sistema submarino,"1,00",Unidade
Espírito Santo,MAR,2027,Perfuração - produtor,"0,85",Unidade
Espírito Santo,MAR,2027,Recompletação para produção,"0,63",Unidade
Espírito Santo,MAR,2027,Sem Atividade,"0,00",sem unidade
Espírito Santo,MAR,2027,UEP - alteração/ampliação/melhorias,"0,06",Unidade
Espírito Santo,MAR,2028,Abandono Permanente,"1,43",Unidade
Espírito Santo,MAR,2028,Coleta - linhas - lançamento (inclui risers),"13,00",Kilômetro
Espírito Santo,MAR,2028,Completação para produção,"2,00",Unidade
Espírito Santo,MAR,2028,Perfuração - produtor,"2,00",Unidade
Espírito Santo,MAR,2028,Sem Atividade,"0,00",sem unidade
Espírito Santo,MAR,2029,Abandono Permanente,"3,00",Unidade
Espírito Santo,MAR,2029,Sem Atividade,"0,00",sem unidade
Espírito Santo,TERRA,2025,Abandono Permanente,"1,00",Unidade
Espírito Santo,TERRA,2025,Coleta - linhas - lançamento (inclui risers),"7,80",Kilômetro
Espírito Santo,TERRA,2025,Completação para produção,"8,00",Unidade
Espírito Santo,TERRA,2025,Descomissionamento - Arrasamento de poço,"1,00",Unidade
Espírito Santo,TERRA,2025,Elevação Artificial - sistema submarino,"3,00",Unidade
Espírito Santo,TERRA,2025,Escoamento - gasoduto - lançamento,"1,80",Kilômetro
Espírito Santo,TERRA,2025,Levantamento de Sísmica 3D - Aquisição,"45,00",Kilômetro Quadrado
Espírito Santo,TERRA,2025,Mudança de método de elevação artificial - poço,"3,00",Unidade
Espírito Santo,TERRA,2025,Perfuração - produtor,"2,00",Unidade
Espírito Santo,TERRA,2025,Recompletação para injeção,"52,00",Unidade
Espírito Santo,TERRA,2025,Recompletação para produção,"45,00",Unidade
Espírito Santo,TERRA,2025,Recuperação Ambiental,"6,50",Kilômetro Quadrado
Espírito Santo,TERRA,2025,Sem Atividade,"0,00",sem unidade
Espírito Santo,TERRA,2025,UEP - alteração/ampliação/melhorias,"7,00",Unidade
Espírito Santo,TERRA,2025,UEP - instalação,"3,00",Unidade
Espírito Santo,TERRA,2026,Coleta - linhas - lançamento (inclui risers),"12,80",Kilômetro
Espírito Santo,TERRA,2026,Completação para injeção,"1,00",Unidade
Espírito Santo,TERRA,2026,Completação para produção,"10,00",Unidade
Espírito Santo,TERRA,2026,Elevação Artificial - sistema submarino,"1,00",Unidade
Espírito Santo,TERRA,2026,Perfuração - exploratório,"1,00",Unidade
Espírito Santo,TERRA,2026,Perfuração - produtor,"10,00",Unidade
Espírito Santo,TERRA,2026,Recompletação para injeção,"51,00",Unidade
Espírito Santo,TERRA,2026,Recompletação para outros fins,"1,00",Unidade
Espírito Santo,TERRA,2026,Recompletação para produção,"24,00",Unidade
Espírito Santo,TERRA,2026,Remoção de instalações associadas à Unidades Produção Terrestres,"1,00",Unidade
Espírito Santo,TERRA,2026,Sem Atividade,"0,00",sem unidade
Espírito Santo,TERRA,2026,Teste de Formação - poço explotatório,"3,00",Unidade
Espírito Santo,TERRA,2026,UEP - alteração/ampliação/melhorias,"12,00",Unidade
Espírito Santo,TERRA,2026,UEP - instalação,"1,00",Unidade
Espírito Santo,TERRA,2027,Abandono Permanente,"40,00",Unidade
Espírito Santo,TERRA,2027,Coleta - linhas - lançamento (inclui risers),"2,10",Kilômetro
Espírito Santo,TERRA,2027,Completação para produção,"6,00",Unidade
Espírito Santo,TERRA,2027,Descomissionamento - Arrasamento de poço,"41,00",Unidade
Espírito Santo,TERRA,2027,Descomissionamento - remoção de linhas,"17,56",Kilômetro
Espírito Santo,TERRA,2027,Perfuração - exploratório,"4,00",Unidade
Espírito Santo,TERRA,2027,Perfuração - produtor,"8,00",Unidade
Espírito Santo,TERRA,2027,Recompletação para injeção,"46,00",Unidade
Espírito Santo,TERRA,2027,Recompletação para produção,"16,00",Unidade
Espírito Santo,TERRA,2027,Recuperação Ambiental,"7,00",Kilômetro Quadrado
Espírito Santo,TERRA,2027,Remoção de instalações associadas à Unidades Produção Terrestres,"4,00",Unidade
Espírito Santo,TERRA,2027,Sem Atividade,"0,00",sem unidade
Espírito Santo,TERRA,2027,Teste de Formação - poço explotatório,"3,00",Unidade
Espírito Santo,TERRA,2027,UEP - alteração/ampliação/melhorias,"6,00",Unidade
Espírito Santo,TERRA,2028,Coleta - linhas - lançamento (inclui risers),"1,00",Kilômetro
Espírito Santo,TERRA,2028,Completação para produção,"4,00",Unidade
Espírito Santo,TERRA,2028,Perfuração - produtor,"6,00",Unidade
Espírito Santo,TERRA,2028,Recompletação para injeção,"34,00",Unidade
Espírito Santo,TERRA,2028,Recompletação para produção,"7,00",Unidade
Espírito Santo,TERRA,2028,Sem Atividade,"0,00",sem unidade
Espírito Santo,TERRA,2028,Teste de Formação - poço explotatório,"2,00",Unidade
Espírito Santo,TERRA,2028,UEP - alteração/ampliação/melhorias,"2,00",Unidade
Espírito Santo,TERRA,2029,Coleta - linhas - lançamento (inclui risers),"1,00",Kilômetro
Espírito Santo,TERRA,2029,Mudança de método de elevação artificial - poço,"1,00",Unidade
Espírito Santo,TERRA,2029,Perfuração - exploratório,"3,00",Unidade
Espírito Santo,TERRA,2029,Perfuração - produtor,"1,00",Unidade
Espírito Santo,TERRA,2029,Recompletação para injeção,"27,00",Unidade
Espírito Santo,TERRA,2029,Recompletação para produção,"7,00",Unidade
Espírito Santo,TERRA,2029,Sem Atividade,"0,00",sem unidade
Mucuri,TERRA,2025,Abandono Permanente,"8,00",Unidade
Mucuri,TERRA,2025,Descomissionamento - Arrasamento de poço,"8,00",Unidade
Mucuri,TERRA,2025,Recuperação Ambiental,"1,00",Kilômetro Quadrado
Mucuri,TERRA,2026,Sem Atividade,"0,00",sem unidade
Mucuri,TERRA,2027,Sem Atividade,"0,00",sem unidade
Mucuri,TERRA,2028,Sem Atividade,"0,00",sem unidade
Mucuri,TERRA,2029,Sem Atividade,"0,00",sem unidade
Paraná,TERRA,2025,Recuperação Ambiental,"1,00",Kilômetro Quadrado
Paraná,TERRA,2025,Sem Atividade,"0,00",sem unidade
Paraná,TERRA,2026,Recuperação Ambiental,"1,00",Kilômetro Quadrado
Paraná,TERRA,2026,Sem Atividade,"0,00",sem unidade
Paraná,TERRA,2027,Recuperação Ambiental,"1,00",Kilômetro Quadrado
Paraná,TERRA,2027,Sem Atividade,"0,00",sem unidade
Paraná,TERRA,2028,Recuperação Ambiental,"1,00",Kilômetro Quadrado
Paraná,TERRA,2028,Sem Atividade,"0,00",sem unidade
Paraná,TERRA,2029,Recuperação Ambiental,"1,00",Kilômetro Quadrado
Paraná,TERRA,2029,Sem Atividade,"0,00",sem unidade
Parnaíba,TERRA,2025,Coleta - linhas - lançamento (inclui risers),"31,84",Kilômetro
Parnaíba,TERRA,2025,Coleta - manifold - instalação,"4,00",Unidade
Parnaíba,TERRA,2025,Completação para produção,"1,00",Unidade
Parnaíba,TERRA,2025,Escoamento - gasoduto - lançamento,"22,70",Kilômetro
Parnaíba,TERRA,2025,Perfuração - produtor,"1,00",Unidade
Parnaíba,TERRA,2025,Sem Atividade,"0,00",sem unidade
Parnaíba,TERRA,2025,Teste de Formação - poço exploratório,"2,00",Unidade
Parnaíba,TERRA,2026,Coleta - linhas - lançamento (inclui risers),"23,06",Kilômetro
Parnaíba,TERRA,2026,Coleta - manifold - instalação,"3,50",Unidade
Parnaíba,TERRA,2026,Completação para produção,"3,00",Unidade
Parnaíba,TERRA,2026,Perfuração - produtor,"3,00",Unidade
Parnaíba,TERRA,2026,Sem Atividade,"0,00",sem unidade
Parnaíba,TERRA,2026,UEP - construção,"0,50",Unidade
Parnaíba,TERRA,2027,Coleta - linhas - lançamento (inclui risers),"45,30",Kilômetro
Parnaíba,TERRA,2027,Coleta - manifold - instalação,"7,50",Unidade
Parnaíba,TERRA,2027,Completação para produção,"2,00",Unidade
Parnaíba,TERRA,2027,Escoamento - compressor - instalação,"0,50",Unidade
Parnaíba,TERRA,2027,Perfuração - produtor,"2,00",Unidade
Parnaíba,TERRA,2027,Sem Atividade,"0,00",sem unidade
Parnaíba,TERRA,2027,UEP - construção,"0,50",Unidade
Parnaíba,TERRA,2027,UEP - instalação,"1,00",Unidade
Parnaíba,TERRA,2028,Coleta - linhas - lançamento (inclui risers),"39,10",Kilômetro
Parnaíba,TERRA,2028,Coleta - manifold - instalação,"2,00",Unidade
Parnaíba,TERRA,2028,Escoamento - compressor - instalação,"0,50",Unidade
Parnaíba,TERRA,2028,Sem Atividade,"0,00",sem unidade
Parnaíba,TERRA,2029,Sem Atividade,"0,00",sem unidade
Potiguar,MAR,2025,Abandono Permanente,"6,00",Unidade
Potiguar,MAR,2025,Descomissionamento - Arrasamento de poço,"4,00",Unidade
Potiguar,MAR,2025,Descomissionamento - desmobilização UEP,"0,48",Unidade
Potiguar,MAR,2025,Mudança de método de elevação artificial - poço,"1,00",Unidade
Potiguar,MAR,2025,Sem Atividade,"0,00",sem unidade
Potiguar,MAR,2026,Abandono Permanente,"16,30",Unidade
Potiguar,MAR,2026,Descomissionamento - Arrasamento de poço,"12,00",Unidade
Potiguar,MAR,2026,Descomissionamento - desmobilização UEP,"6,39",Unidade
Potiguar,MAR,2026,Recompletação para produção,"1,00",Unidade
Potiguar,MAR,2026,Sem Atividade,"0,00",sem unidade
Potiguar,MAR,2027,Abandono Permanente,"6,70",Unidade
Potiguar,MAR,2027,Descomissionamento - desmobilização UEP,"0,11",Unidade
Potiguar,MAR,2027,Mudança de método de elevação artificial - poço,"3,00",Unidade
Potiguar,MAR,2027,Recompletação para injeção,"1,00",Unidade
Potiguar,MAR,2027,Recompletação para produção,"6,00",Unidade
Potiguar,MAR,2027,Sem Atividade,"0,00",sem unidade
Potiguar,MAR,2028,Descomissionamento - desmobilização UEP,"1,00",Unidade
Potiguar,MAR,2028,Recompletação para produção,"5,00",Unidade
Potiguar,MAR,2028,Sem Atividade,"0,00",sem unidade
Potiguar,MAR,2029,Recompletação para injeção,"1,00",Unidade
